,Idade,Sexo,Tipo de Assinatura,Valor,Modalidade,Cidade de Entrega,Nome do Bairro,Número Exemplares,Número Exemplares Entregues,Quantidade Parcelas Contrato,Data de Validade Inicial,Data de Validade Final,Número Exemplares a Entregar
0,78,M,Impressa,1251.75,Anual,São José do Rio Preto,Jardim Aclimação,261,222,12,01/01/2023 ,24/05/2024 ,39
1,72,M,Impressa,1251.75,Anual,São José do Rio Preto,Centro,261,236,12,17/01/2023 ,04/05/2024 ,25
2,72,M,Combo,468.0,Anual,São José do Rio Preto,Parque Residencial Comendador Mancor Daud,104,100,12,11/02/2023 ,27/04/2024 ,4
3,56,M,Combo,780.0,Anual,São José do Rio Preto,Parque Residencial Comendador Mancor Daud,156,146,12,14/02/2023 ,06/05/2024 ,10
4,86,F,Impressa,1251.75,Anual,São José do Rio Preto,Residencial Marcia,261,264,12,19/02/2023 ,02/04/2024 ,-3
5,54,M,Impressa,1251.75,Anual,São José do Rio Preto,Jardim Tarraf,261,261,12,05/03/2023 ,03/04/2024 ,0
6,54,M,Impressa,1251.75,Anual,São José do Rio Preto,Jardim Redentor,261,258,1,07/03/2023 ,06/04/2024 ,3
7,45,M,Combo,468.0,Anual,São José do Rio Preto,Jardim Seyon,104,104,12,11/03/2023 ,06/04/2024 ,0
8,64,F,Impressa,1251.75,Anual,São José do Rio Preto,Parque Residencial Damha,261,248,8,15/03/2023 ,24/04/2024 ,13
9,64,F,Impressa,1251.75,Anual,São José do Rio Preto,Parque Residencial Damha,261,252,12,15/03/2023 ,23/04/2024 ,9
10,61,M,Impressa,1251.75,Anual,São José do Rio Preto,Vila São José,261,249,1,16/03/2023 ,23/04/2024 ,12
11,54,M,Impressa,1251.75,Anual,Palestina,A DEFINIR,261,248,12,21/03/2023 ,24/04/2024 ,13
12,124,M,Impressa,1251.75,Anual,São José do Rio Preto,Jardim Palmeiras,261,217,1,22/03/2023 ,10/06/2024 ,44
13,57,M,Impressa,1251.75,Anual,São José do Rio Preto,Residencial Marcia,261,257,12,23/03/2023 ,10/04/2024 ,4
14,80,M,Impressa,1251.75,Anual,São José do Rio Preto,Jardim dos Seixas,261,256,12,25/03/2023 ,09/04/2024 ,5
15,86,F,Impressa,1251.75,Anual,São José do Rio Preto,Centro,261,241,12,25/03/2023 ,03/05/2024 ,20
16,53,M,Impressa,1251.75,Anual,Mirassol,JARDIM MARILU,261,255,10,26/03/2023 ,16/04/2024 ,6
17,53,M,Impressa,1251.75,Anual,São José do Rio Preto,Jardim Palmeiras,261,257,10,28/03/2023 ,09/04/2024 ,4
18,54,M,Impressa,1251.75,Anual,São José do Rio Preto,Jardim Estrela,261,258,12,28/03/2023 ,08/04/2024 ,3
19,54,M,Digital,1251.75,Anual,São José do Rio Preto,Parque Industrial,261,263,12,28/03/2023 ,06/04/2024 ,-2
20,55,F,Impressa,1251.75,Anual,São José do Rio Preto,Parque Residencial Damha,261,258,10,28/03/2023 ,08/04/2024 ,3
21,55,F,Impressa,1251.75,Anual,Guapiaçu,A DEFINIR,261,260,12,28/03/2023 ,03/04/2024 ,1
22,63,M,Digital,1251.75,Anual,Populina,A DEFINIR,261,256,12,28/03/2023 ,17/04/2024 ,5
23,77,M,Impressa,1251.75,Anual,Mirassol,A DEFINIR,261,260,10,29/03/2023 ,05/04/2024 ,1
24,61,F,Combo,780.0,Anual,General Salgado,A DEFINIR,156,155,12,29/03/2023 ,08/04/2024 ,1
25,52,M,Impressa,1251.75,Anual,São José do Rio Preto,Parque Residencial Comendador Mancor Daud,261,260,8,30/03/2023 ,03/04/2024 ,1
26,51,M,Impressa,1251.75,Anual,São José do Rio Preto,Vila Ercília,261,255,1,01/04/2023 ,10/04/2024 ,6
27,78,F,Impressa,1251.75,Anual,São José do Rio Preto,Jardim Caparroz,261,262,12,01/04/2023 ,02/04/2024 ,-1
28,52,M,Combo,468.0,Anual,São José do Rio Preto,Loteamento Parque dos Pássaros,104,104,12,01/04/2023 ,05/04/2024 ,0
29,52,M,Combo,468.0,Anual,São José do Rio Preto,RESIDENCIAL FRATERNIDADE,104,105,12,01/04/2023 ,05/04/2024 ,-1
30,52,M,Impressa,1251.75,Anual,Tanabi,A DEFINIR,261,257,10,01/04/2023 ,03/04/2024 ,4
31,86,M,Impressa,1251.75,Anual,Olímpia,A DEFINIR,261,258,10,01/04/2023 ,06/04/2024 ,3
